LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.30, 23.30, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.35, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.35, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.40, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.45, 23.20,  75.4500,  77.2768,  80.0018,  79.5571,  77.7268,  77.2879,  80.0965,  79.4345,  79.5207,  77.3944,  79.0556,  82.9704,  82.4056,  77.2879,  79.9638,  80.5500,  83.5259,  77.3141,  79.4109,  77.2525,  80.1424,  77.3189,  82.0364,  77.0855,  82.8306,
119.45, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.35,  68.4000,  66.5268,  69.1893,  69.1929,  67.9964,  66.2672,  69.5569,  67.6983,  68.3759,  66.6926,  68.5204,  71.4722,  70.9019,  66.2672,  67.1103,  69.3379,  72.6862,  66.4277,  68.4336,  66.4399,  68.6778,  66.6030,  71.1553,  66.3500,  70.9403,
119.50, 23.40,  68.4000,  66.5232,  69.1911,  68.9089,  67.9518,  66.2517,  69.3259,  67.4552,  68.1707,  66.7741,  68.6944,  71.2741,  70.8852,  66.2517,  66.9793,  69.3121,  72.4483,  66.4295,  68.3327,  66.4833,  68.5354,  66.6568,  70.9530,  66.4581,  71.0177,
119.50, 23.50,  68.6500,  67.3554,  68.8893,  68.7571,  68.0643,  67.2328,  69.4741,  67.6397,  68.2517,  67.8593,  68.8148,  70.9333,  70.6778,  67.2328,  66.8155,  69.2224,  72.3586,  67.4177,  68.5455,  67.4833,  68.6106,  67.6803,  70.6803,  67.6468,  71.1210,
119.50, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.60,  72.1000,  69.9089,  71.4357,  71.8321,  70.4768,  69.8069,  71.9465,  70.8172,  71.3362,  70.5667,  71.9685,  74.7296,  73.4278,  69.8069,  69.8035,  72.4983,  75.0362,  70.0055,  71.3886,  70.0237,  72.0197,  70.2242,  73.7432,  69.8645,  73.5903,
119.50, 23.65,  72.1000,  70.4196,  71.8946,  72.6732,  71.1857,  70.3207,  72.6879,  71.1948,  71.9190,  71.1426,  72.0833,  75.1648,  73.8759,  70.3207,  70.4707,  72.3914,  75.4983,  70.5245,  71.9177,  70.5561,  72.4298,  70.8235,  74.1098,  70.7597,  73.7161,
119.55, 23.35,  67.7500,  67.2857,  69.0107,  69.4857,  68.1054,  66.9897,  69.6431,  67.8897,  68.3379,  67.5704,  68.3537,  71.7519,  70.8259,  66.9897,  67.2724,  69.6707,  72.7466,  67.1759,  68.6568,  67.2146,  68.8116,  67.4242,  71.4114,  67.1661,  71.4081,
