LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.30, 23.30, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.35, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.35, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.40, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.45, 23.20,   6.1500,   6.6107,   6.8375,   6.9268,   7.3643,   6.5069,   6.9603,   6.7776,   7.0586,   6.6352,   7.0019,   6.9926,   7.4370,   6.5069,   6.7431,   7.2172,   7.7052,   6.5614,   6.8336,   6.5434,   6.9848,   6.5462,   7.0553,   6.3694,   7.6887,
119.45, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.35,   5.3000,   6.5821,   7.0036,   7.0518,   7.4554,   6.5172,   7.0155,   6.8328,   7.0638,   6.6241,   7.0741,   7.0204,   7.5241,   6.5172,   6.7776,   7.2586,   7.8310,   6.5573,   6.8959,   6.5530,   7.0429,   6.5659,   7.2030,   6.4532,   7.7887,
119.50, 23.40,   5.2500,   6.5321,   6.9607,   6.9679,   7.3446,   6.4603,   6.9448,   6.7724,   6.9328,   6.5685,   7.0185,   6.9944,   7.4426,   6.4603,   6.7431,   7.2034,   7.7466,   6.5027,   6.8345,   6.4970,   6.9970,   6.5114,   7.1591,   6.3952,   7.6968,
119.50, 23.50,   5.0000,   6.2214,   6.6554,   6.6893,   7.0536,   6.1621,   6.7034,   6.5621,   6.6586,   6.2519,   6.7259,   6.7537,   7.1185,   6.1621,   6.4655,   6.8931,   7.4207,   6.2000,   6.5477,   6.1985,   6.7253,   6.2083,   6.8879,   6.1242,   7.3500,
119.50, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.60,   5.2000,   5.9750,   6.4089,   6.4536,   6.7607,   5.9034,   6.5328,   6.3293,   6.4414,   6.0037,   6.5407,   6.5037,   6.9000,   5.9034,   6.3707,   6.7190,   7.2448,   5.9532,   6.3650,   5.9566,   6.5121,   5.9833,   6.6492,   5.9629,   7.2048,
119.50, 23.65,   5.0500,   5.9679,   6.4018,   6.4375,   6.7464,   5.8897,   6.5397,   6.2897,   6.4379,   5.9981,   6.5056,   6.4963,   6.8519,   5.8897,   6.3655,   6.6793,   7.2190,   5.9405,   6.3295,   5.9449,   6.4899,   5.9682,   6.6364,   5.9500,   7.1903,
119.55, 23.35,   5.5500,   6.5268,   6.9018,   6.9000,   7.3054,   6.4534,   6.8914,   6.6759,   6.8552,   6.5630,   6.9463,   6.9000,   7.4019,   6.4534,   6.6931,   7.1052,   7.6483,   6.4973,   6.7582,   6.4944,   6.9242,   6.5023,   7.0545,   6.3968,   7.6565,
