LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.30, 23.30, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.35, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.35, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.40, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.45, 23.20,  13.7500,  11.3400,  31.4580,  43.6820,  44.7060,  11.3558,  31.3712,  52.0923,  83.0673,  11.3087,  32.4087,  60.3870, 115.3783,  11.3558,  35.9596,  68.2288, 137.5192,  11.3340,  30.4933,  11.3430,  48.6878,  11.3360,  85.6333,  11.2904, 118.3731,
119.45, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.35,  13.6000,  11.4300,  31.0300,  43.5840,  44.5040,  11.3865,  30.8904,  51.8769,  83.3981,  11.4065,  32.5457,  60.1217, 115.5391,  11.3865,  35.5865,  68.4462, 137.4462,  11.3943,  30.3814,  11.3890,  48.6605,  11.3465,  85.5333,  11.1827, 118.0750,
119.50, 23.40,  13.2000,  11.4180,  31.1500,  43.8480,  44.7480,  11.4058,  30.8673,  52.2019,  83.5385,  11.3522,  32.6478,  60.0500, 114.9435,  11.4058,  35.7212,  68.4308, 137.4423,  11.4010,  30.4830,  11.4076,  48.8477,  11.4088,  85.5070,  11.4000, 118.0442,
119.50, 23.50,  13.4500,  11.4120,  32.7120,  45.2540,  46.0620,  11.3808,  32.2558,  53.7385,  85.1500,  11.3565,  33.5717,  61.7891, 116.5522,  11.3808,  37.1250,  69.9538, 138.8885,  11.3902,  31.6031,  11.3808,  50.3855,  11.3588,  87.0903,  11.2846, 119.4231,
119.50, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.60,  13.4500,  11.2280,  31.6940,  44.3020,  45.4860,  11.1577,  31.5423,  52.6519,  84.6519,  11.1500,  33.0348,  60.5913, 115.6935,  11.1577,  36.1577,  68.9212, 137.9250,  11.1768,  31.0284,  11.1878,  49.5047,  11.1711,  85.9219,  11.2096, 117.8654,
119.50, 23.65,  13.5000,  11.1560,  31.7940,  44.8780,  45.8440,  11.1096,  31.9750,  52.9115,  84.7788,  11.0522,  33.1717,  60.9391, 115.4565,  11.1096,  36.4423,  69.3365, 138.1923,  11.1191,  31.2026,  11.1169,  49.6698,  11.0939,  86.0404,  11.1115, 118.1404,
119.55, 23.35,  13.6000,  11.3880,  31.0100,  43.5700,  44.2020,  11.3327,  31.1019,  52.1365,  83.3019,  11.3826,  32.4109,  60.0261, 115.2783,  11.3327,  35.7654,  68.3115, 137.5211,  11.3546,  30.3366,  11.3744,  48.7570,  11.3825,  85.2904,  11.3885, 118.0462,
