LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.30, 23.30, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.35, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.35, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.40, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.45, 23.20, 609.9095, 572.8204, 600.7104, 626.4625, 663.9160, 576.3582, 611.0489, 642.6578, 663.2646, 573.7859, 613.4186, 592.6014, 683.6275, 576.3582, 600.5429, 651.6140, 787.1511, 574.9858, 598.8763, 575.1237, 610.4893, 574.9958, 644.1608, 572.7125, 743.3187,
119.45, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.35, 843.9924, 776.3361, 807.6166, 844.7089, 894.8083, 780.7143, 825.2540, 867.1319, 890.3234, 778.0842, 832.7274, 796.8492, 921.2081, 780.7143, 803.6404, 870.8323,1056.0563, 779.3951, 807.8165, 779.8489, 820.1252, 780.1971, 865.8779, 779.9908, 998.6797,
119.50, 23.40, 833.3378, 762.8146, 795.7277, 832.3542, 881.1548, 767.2032, 813.3414, 854.0093, 876.5092, 764.4811, 819.8115, 783.4390, 906.6521, 767.2032, 791.7891, 856.1800,1038.2927, 765.8235, 795.8068, 766.2377, 807.3804, 766.7018, 851.7569, 766.3257, 982.1364,
119.50, 23.50, 842.3184, 760.6488, 793.2519, 834.0334, 880.7024, 764.8547, 813.4286, 853.0248, 873.7718, 762.2542, 818.3356, 786.2157, 902.8868, 764.8547, 793.6513, 853.6353,1028.9696, 763.3632, 794.8795, 763.8519, 808.0378, 764.1681, 850.4325, 763.2735, 978.4814,
119.50, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.60, 776.1115, 712.3855, 745.9049, 785.0396, 831.7082, 716.8423, 765.7061, 803.3167, 821.0078, 713.8785, 766.9334, 738.6909, 850.0870, 716.8423, 746.5358, 803.3934, 968.8748, 715.1521, 746.2865, 715.4942, 759.8001, 715.9129, 801.5912, 714.4839, 926.5771,
119.50, 23.65, 762.3348, 702.2509, 735.9469, 776.6257, 820.5728, 706.4019, 755.5079, 793.1964, 809.6482, 703.8429, 758.1465, 730.5300, 839.9332, 706.4019, 736.7783, 793.0127, 955.7744, 704.9039, 736.6601, 705.2239, 750.8557, 705.7451, 791.2526, 704.8427, 914.9907,
119.55, 23.35, 836.2686, 762.1592, 793.5962, 829.7701, 878.1913, 766.2115, 812.6860, 852.0110, 875.2106, 763.5447, 816.3144, 784.5264, 907.0719, 766.2115, 792.1325, 855.9075,1040.1560, 764.8485, 794.9314, 765.4533, 806.6307, 765.4944, 851.0388, 764.8936, 982.8932,
