LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.30, 23.30, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.35, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.35, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.40, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.45, 23.20,  88.1242,  76.3655,  77.8702,  84.9760,  85.3996,  76.8369,  82.6042,  84.8239,  87.8016,  76.7157,  82.7983,  80.8366,  95.1048,  76.8369,  80.3055,  86.8623, 107.5250,  76.6875,  80.8159,  76.9999,  82.5268,  77.3331,  85.0839,  78.9429,  97.3587,
119.45, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.35, 140.2317, 123.4921, 130.8207, 141.2681, 141.6419, 124.3284, 138.8222, 141.8904, 145.8194, 124.0153, 135.4433, 132.1100, 158.1204, 124.3284, 133.5652, 141.6841, 179.0331, 124.1066, 133.4023, 124.2972, 136.4007, 124.9679, 140.8172, 127.0607, 161.6618,
119.50, 23.40, 139.9822, 120.8854, 129.0417, 138.5794, 138.9994, 121.7508, 136.7141, 139.0946, 143.5013, 121.3602, 133.3177, 128.7365, 156.3423, 121.7508, 131.4177, 138.8515, 175.6363, 121.4941, 131.3403, 121.6660, 133.5835, 122.3282, 138.0318, 124.3176, 158.6650,
119.50, 23.50, 143.6065, 113.8462, 123.1926, 133.0162, 131.9760, 114.6376, 131.9011, 131.5234, 136.1346, 114.2663, 127.9306, 124.1508, 149.8677, 114.6376, 127.4428, 132.9283, 167.9902, 114.4003, 125.3448, 114.6396, 128.1394, 115.2071, 132.6543, 117.4390, 152.3537,
119.50, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.60, 133.4372, 106.3966, 114.9777, 124.5007, 123.3817, 107.1831, 123.7095, 121.8523, 126.4070, 106.8251, 118.4002, 114.9850, 140.5238, 107.1831, 119.1576, 123.4093, 156.5361, 106.9688, 116.5234, 107.1648, 119.3795, 107.6442, 123.9469, 109.5361, 143.1097,
119.50, 23.65, 131.2561, 105.1834, 113.6007, 123.7713, 121.7265, 105.9367, 121.8221, 120.6343, 124.4398, 105.6440, 117.2201, 114.6309, 138.5587, 105.9367, 117.4684, 121.7317, 154.0151, 105.7482, 114.9491, 105.9282, 118.3733, 106.3962, 122.6292, 108.1825, 141.1029,
119.55, 23.35, 139.2331, 118.8218, 125.6625, 136.5661, 136.1173, 119.6029, 134.3971, 136.3837, 140.3026, 119.3400, 129.1520, 127.8646, 152.6121, 119.6029, 130.0700, 136.6239, 173.0267, 119.3759, 128.8825, 119.6238, 131.7644, 120.2209, 135.6788, 122.2230, 154.7961,
