LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.30, 23.30, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.35, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.35, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.40, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.45, 23.20,  15.5203,  14.7556,  15.0253,  15.4229,  15.5515,  14.7796,  15.4634,  15.6665,  15.9998,  14.7973,  15.5315,  15.3095,  16.9746,  14.7796,  15.1717,  15.7196,  18.1726,  14.7786,  15.1762,  14.7949,  15.2554,  14.7918,  15.8978,  14.8630,  17.3212,
119.45, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.35,  18.4444,  17.0034,  17.3610,  18.0048,  18.0747,  17.0147,  18.1325,  18.2337,  18.5989,  17.0576,  18.0639,  17.7635,  20.0065,  17.0147,  17.5206,  18.2275,  21.6503,  17.0288,  17.6117,  17.0506,  17.7221,  17.0667,  18.5346,  17.2229,  20.4164,
119.50, 23.40,  18.3811,  16.8741,  17.1930,  17.8463,  17.9090,  16.8793,  17.9952,  18.0344,  18.4443,  16.9401,  17.9434,  17.6180,  19.8066,  16.8793,  17.3716,  18.0276,  21.4343,  16.8989,  17.4870,  16.9243,  17.5659,  16.9489,  18.3458,  17.1195,  20.2126,
119.50, 23.50,  19.2131,  17.2503,  17.4823,  18.2345,  18.2734,  17.2529,  18.3562,  18.4014,  18.7641,  17.3227,  18.2095,  18.0220,  20.1641,  17.2529,  17.7734,  18.3661,  21.7716,  17.2724,  17.8091,  17.3001,  17.9443,  17.3289,  18.7269,  17.4978,  20.5359,
119.50, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.60,  18.7776,  17.2363,  17.3886,  18.1519,  18.1912,  17.2605,  18.3267,  18.3251,  18.6520,  17.3114,  18.1103,  17.9547,  19.9712,  17.2605,  17.7127,  18.2036,  21.5293,  17.2693,  17.7525,  17.2833,  17.8913,  17.3068,  18.5859,  17.4085,  20.3952,
119.50, 23.65,  18.3347,  16.9511,  17.1566,  17.9472,  17.9676,  16.9764,  18.1182,  18.1337,  18.4059,  17.0194,  17.9429,  17.7640,  19.7422,  16.9764,  17.5137,  17.9690,  21.2684,  16.9835,  17.5462,  16.9969,  17.6855,  17.0273,  18.3797,  17.1338,  20.1650,
119.55, 23.35,  18.8311,  17.2688,  17.5600,  18.2474,  18.2768,  17.2700,  18.3770,  18.4259,  18.8242,  17.3115,  18.2255,  18.0758,  20.2126,  17.2700,  17.7889,  18.4968,  21.8631,  17.2843,  17.8668,  17.3111,  17.9751,  17.3213,  18.7893,  17.4897,  20.6779,
