LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.30, 23.30, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.35, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.30, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.35, 23.40, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.40, 23.20, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.45, 23.20,  40.4421,  40.5774,  78.5660,  99.8780, 103.1343,  40.5354,  77.6173, 115.1712, 169.4404,  40.5130,  79.9696, 129.9696, 220.2609,  40.5354,  85.9038, 145.0692, 251.2962,  40.5225,  76.5675,  40.5247, 110.5959,  40.5178, 172.5439,  40.4660, 219.3308,
119.45, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.35,  40.3579,  40.5467,  78.2120, 100.2700, 102.7715,  40.5120,  77.0327, 114.6904, 168.8173,  40.4883,  79.8043, 129.0130, 219.5544,  40.5120,  85.1596, 144.4712, 251.0481,  40.5077,  76.2954,  40.5279, 110.1076,  40.5266, 171.7447,  40.5516, 219.1308,
119.50, 23.40,  40.7053,  40.5294,  78.1600, 100.3020, 103.1463,  40.5202,  76.7096, 114.5865, 169.1096,  40.5161,  79.5174, 129.3913, 219.9761,  40.5202,  85.1404, 144.6827, 251.5654,  40.5168,  76.3696,  40.5306, 110.1285,  40.5422, 172.0526,  40.6019, 219.1096,
119.50, 23.50,  40.6395,  40.4704,  78.5640, 101.5460, 104.3186,  40.4780,  77.7519, 116.0808, 170.8654,  40.4339,  79.7435, 129.9696, 221.0130,  40.4780,  86.3000, 145.7923, 252.9942,  40.4546,  77.0350,  40.4667, 111.3134,  40.4801, 173.3939,  40.5169, 220.4231,
119.50, 23.55, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.50, 23.60,  40.3184,  40.4251,  78.5400, 100.9380, 103.6633,  40.4058,  77.0654, 114.8308, 169.3577,  40.3944,  79.3348, 128.8826, 219.8152,  40.4058,  85.2923, 144.6327, 251.7711,  40.4029,  76.6696,  40.4172, 110.2930,  40.4379, 171.7930,  40.4730, 219.3961,
119.50, 23.65,  40.2500,  40.4373,  78.9100, 101.0380, 104.1743,  40.4505,  77.3615, 115.2538, 169.7558,  40.4373,  79.6174, 129.1913, 220.2217,  40.4505,  85.7885, 145.2731, 251.7846,  40.4443,  76.8737,  40.4697, 110.7994,  40.5108, 172.2307,  40.6656, 219.4288,
119.55, 23.35,  40.2421,  40.4585,  78.4220, 100.0660, 102.9659,  40.4339,  77.3135, 114.7442, 168.9615,  40.4181,  79.8565, 129.0348, 219.5761,  40.4339,  85.6558, 144.4981, 251.0115,  40.4279,  76.6325,  40.4428, 110.2238,  40.4519, 171.5772,  40.4867, 219.1654,
