Feature,Model_importance,Permutation_importance_mean,Permutation_importance_std
y_m,0.11387090915212916,0.5370131195585218,0.048675093703999375
rx1day_base,0.18277614669763234,0.2383544172959084,0.028170886963205997
prcptot_chg,0.12982784816193618,0.22906996618532033,0.019846848327467196
x_m,0.09081751531071566,0.21866926251389912,0.02344433978073914
W_prcptot_chg,0.12482740566262071,0.09620133268433563,0.009890313599054672
W_cwd_chg,0.02687089829104479,0.020429949570137256,0.002774800526487081
W_sdii_chg,0.04973680012565107,0.019629149422204444,0.004646430641918486
cdd_chg,0.05807826565943033,0.01840569339373313,0.004709936640994913
sdii_chg,0.04263302882355772,0.017493646563965144,0.003918019086952673
hwdi_chg,0.02605614559986375,0.013451287562762353,0.0026819966143987314
interaction_prcptot_tx90p,0.05921484060654606,0.011537015310145537,0.002586029531708522
W_tx90p_chg,0.0448580069866966,0.009758126528720445,0.001780552952101144
tx90p_chg,0.020811655596441384,0.00817197041824368,0.0016735208908016407
cwd_chg,0.011539163605271074,0.0037328142618132274,0.0010453554979642115
interaction_sdii_cwd,0.01808136972046316,0.003015244424242175,0.001241758862759043
