variable,中文名稱,說明,單位
Rx1day,年最大一日降雨量,一年中單日降雨量的最大值,毫米（mm）
TX90p,暖晝天數,日高溫超過基準期第 90 百分位的天數,天
PRCPTOT,雨日總降雨量,雨日的累積降雨量,毫米（mm）
SDII,雨日降雨強度,雨日總降雨量除以雨日天數,毫米 / 天
CDD,年最長連續不降雨日,一年中最長的連續不降雨天數,天
CWD,年最長連續降雨日,一年中最長的連續降雨天數,天
HWDI,極端高溫持續指數,極端高溫事件的持續天數,天
LON,經度,格點中心位置的經度,度
LAT,緯度,格點中心位置的緯度,度
rx1day_base,基準期年最大一日降雨量,OBS 1995-2014 的 Rx1day,毫米（mm）
rx1day_change,年最大一日降雨量變化量,未來情境期 Rx1day 減去 OBS 1995-2014 Rx1day,毫米（mm）
rx1day_change_pred,預測年最大一日降雨量變化量,部署模型預測的 Rx1day change,毫米（mm）
rx1day_future_pred,未來年最大一日降雨量預測值,基準期 Rx1day 加上預測變化量,毫米（mm）
*_change,指標變化量,未來情境期指標值減去 OBS 1995-2014 指標值,依原始指標
*_change_lag,鄰近格點指標變化量,鄰近格點輔助氣候指標變化量的平均值,依原始指標
lon_scaled,標準化經度,供模型使用的標準化經度,標準化數值
lat_scaled,標準化緯度,供模型使用的標準化緯度,標準化數值
risk_percentile,風險百分位,同一情境與時段下預測變化量的全臺百分位,百分位
risk_level,風險等級,依全臺預測變化量三分位切分為低中高,類別
scenario,排放情境,SSP1-2.6、SSP2-4.5、SSP3-7.0 或 SSP5-8.5,類別
period,未來時段,2021-2040、2041-2060 或 2081-2100,時段
